epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0468,1.27984,3.35695,4.87387,0.01159,7.14661,0.05433,0.04392,0.01377,0.00953,0.05433,0.04392,0.01387,0.00944,1.05079,2.70015,5.56715,0.01348,0,0.000156148,0.000156148,0.000156148
2,31.8615,1.05258,2.3921,4.51098,0.00924,5.24322,0.01184,0.44057,0.04681,0.03398,0.01186,0.43453,0.04412,0.03198,1.06304,2.41091,5.13695,0.01321,0,0.000311698,0.000311698,0.000311698
3,43.7554,1.0736,2.23968,4.01635,0.00915,4.07582,0.65501,0.11783,0.12937,0.09635,0.66,0.11706,0.1292,0.09213,1.13462,2.29444,4.66218,0.01435,0,0.000464107,0.000464107,0.000464107
4,56.0401,1.10626,2.18083,3.6509,0.01004,3.52429,0.53095,0.17627,0.19629,0.14021,0.5334,0.17765,0.194,0.13851,1.14248,2.35896,4.37366,0.01494,0,0.000461863,0.000461863,0.000461863
5,67.9035,1.12661,2.1923,3.3476,0.00993,3.23989,0.59245,0.23103,0.23136,0.17832,0.58899,0.22832,0.22693,0.16877,1.13719,2.28126,3.97272,0.01439,0,0.00045715,0.00045715,0.00045715
6,79.7355,1.0922,2.02004,3.12894,0.00978,3.12411,0.43022,0.27008,0.23745,0.17193,0.42883,0.26871,0.23279,0.16502,1.16532,2.28823,3.80625,0.01558,0,0.000452438,0.000452438,0.000452438
7,91.7277,1.11193,2.0407,2.96204,0.00983,2.93976,0.35855,0.31593,0.27412,0.20086,0.35229,0.30968,0.27355,0.19089,1.16198,2.2181,3.64901,0.01549,0,0.000447726,0.000447726,0.000447726
8,103.692,1.10179,1.98022,2.84934,0.00979,2.72138,0.36597,0.30405,0.29142,0.21539,0.36298,0.30477,0.28906,0.20744,1.13785,2.214,3.4609,0.01522,0,0.000443013,0.000443013,0.000443013
9,116.44,1.089,1.93293,2.70754,0.0095,2.52869,0.35814,0.35212,0.30092,0.22381,0.36074,0.35477,0.29977,0.21257,1.1244,2.13393,3.42288,0.01455,0,0.000438301,0.000438301,0.000438301
10,129.17,1.10347,1.95027,2.62839,0.00977,2.41654,0.38237,0.28153,0.30197,0.23278,0.38299,0.29387,0.30559,0.21929,1.1335,2.25654,3.29133,0.01434,0,0.000433588,0.000433588,0.000433588
11,143.135,1.08165,1.89273,2.52834,0.00968,2.29046,0.45767,0.35781,0.33529,0.25331,0.44886,0.35592,0.33965,0.24346,1.1215,2.09192,3.13785,0.01437,0,0.000428876,0.000428876,0.000428876
12,155.162,1.06445,1.8732,2.45265,0.00932,2.13531,0.36774,0.33231,0.29692,0.22758,0.36062,0.32047,0.2946,0.2161,1.11394,2.1579,3.12824,0.01462,0,0.000424164,0.000424164,0.000424164
13,167.194,1.06594,1.83514,2.38782,0.00947,1.97095,0.41127,0.35653,0.33077,0.23912,0.40496,0.35219,0.32246,0.23127,1.15066,2.15571,3.04442,0.01561,0,0.000419451,0.000419451,0.000419451
14,179.142,1.05112,1.8111,2.28401,0.00906,1.80035,0.39912,0.36449,0.33499,0.24863,0.41534,0.35035,0.33567,0.23632,1.1358,2.09004,2.98419,0.01468,0,0.000414739,0.000414739,0.000414739
15,191.568,1.04918,1.78804,2.26402,0.0091,1.66561,0.42596,0.33855,0.35443,0.25675,0.4244,0.33742,0.35597,0.24347,1.1359,2.1093,2.87363,0.01543,0,0.000410026,0.000410026,0.000410026
16,203.526,1.06862,1.79348,2.21169,0.00911,1.61369,0.4435,0.35463,0.35456,0.26459,0.45529,0.34356,0.35427,0.25241,1.12762,2.1672,2.86645,0.01463,0,0.000405314,0.000405314,0.000405314
17,215.882,1.05981,1.76629,2.1651,0.00891,1.52944,0.42555,0.38499,0.36126,0.25429,0.42871,0.37499,0.35702,0.24859,1.15248,2.30446,2.83877,0.01503,0,0.000400602,0.000400602,0.000400602
18,228.313,1.0409,1.74515,2.07571,0.00905,1.42787,0.42289,0.38406,0.36874,0.26422,0.41681,0.38202,0.36673,0.2584,1.15014,2.12875,2.77832,0.01523,0,0.000395889,0.000395889,0.000395889
19,240.488,1.06265,1.75149,2.05417,0.00896,1.36849,0.45452,0.39913,0.38486,0.27806,0.45687,0.38122,0.38246,0.2706,1.17919,2.21805,2.69712,0.01573,0,0.000391177,0.000391177,0.000391177
20,252.706,1.04043,1.71166,2.00849,0.00923,1.27608,0.465,0.39445,0.36718,0.27311,0.45666,0.39767,0.37066,0.26178,1.12624,2.13645,2.67889,0.01456,0,0.000386464,0.000386464,0.000386464
21,264.905,1.01897,1.69714,1.95134,0.009,1.13065,0.50307,0.37083,0.3865,0.28279,0.5009,0.37856,0.38202,0.26988,1.14009,2.16493,2.66738,0.01475,0,0.000381752,0.000381752,0.000381752
22,277.809,1.02524,1.71141,1.95399,0.0087,1.07605,0.49769,0.36141,0.38123,0.29259,0.49228,0.3535,0.37175,0.27728,1.13583,2.14374,2.58643,0.01429,0,0.00037704,0.00037704,0.00037704
23,289.578,1.00614,1.67122,1.89803,0.0088,1.00619,0.47699,0.38016,0.37398,0.27518,0.46905,0.37182,0.36793,0.26509,1.14559,2.20213,2.64781,0.01497,0,0.000372327,0.000372327,0.000372327
24,302.206,1.03475,1.68626,1.86807,0.00848,0.98459,0.51935,0.4095,0.41471,0.31667,0.53631,0.38907,0.41476,0.29912,1.13569,2.11948,2.51273,0.01469,0,0.000367615,0.000367615,0.000367615
25,314.772,1.03881,1.6589,1.7968,0.00882,0.94214,0.55642,0.38352,0.40341,0.29639,0.54666,0.37273,0.3942,0.27897,1.18348,2.21405,2.5222,0.01553,0,0.000362902,0.000362902,0.000362902
26,326.887,1.02551,1.66466,1.80125,0.00888,0.94287,0.55539,0.37688,0.39324,0.28806,0.55758,0.37641,0.39317,0.27952,1.19181,2.1124,2.50699,0.01574,0,0.00035819,0.00035819,0.00035819
27,339.246,0.98881,1.62861,1.77273,0.00879,0.91058,0.51331,0.39376,0.38987,0.29015,0.50329,0.38844,0.38453,0.28142,1.16891,2.17469,2.51787,0.01516,0,0.000353478,0.000353478,0.000353478
28,351.131,1.03364,1.63471,1.77858,0.00856,0.88904,0.48249,0.41516,0.41566,0.30112,0.47272,0.40542,0.40603,0.28633,1.16679,2.1,2.43295,0.0152,0,0.000348765,0.000348765,0.000348765
29,363.133,1.00612,1.62304,1.69971,0.00844,0.89056,0.52645,0.36833,0.40663,0.2991,0.53232,0.35464,0.40073,0.28368,1.18032,2.1934,2.44065,0.01554,0,0.000344053,0.000344053,0.000344053
30,375.046,0.99521,1.59575,1.66958,0.00832,0.87099,0.49595,0.39584,0.406,0.30756,0.50295,0.39162,0.40036,0.29736,1.1377,2.14127,2.45753,0.01426,0,0.00033934,0.00033934,0.00033934
31,386.988,0.99542,1.60701,1.64368,0.00834,0.82938,0.48094,0.42132,0.42858,0.31805,0.48033,0.41685,0.42191,0.30454,1.15778,2.26039,2.42445,0.01476,0,0.000334628,0.000334628,0.000334628
32,398.678,1.00587,1.62704,1.65457,0.00839,0.8284,0.4906,0.41,0.39303,0.29087,0.48632,0.40439,0.38872,0.27954,1.12569,2.22616,2.44711,0.01425,0,0.000329916,0.000329916,0.000329916
33,411.942,0.99742,1.59012,1.629,0.00845,0.81537,0.50217,0.41949,0.4036,0.30042,0.46781,0.40747,0.38947,0.28348,1.16709,2.2693,2.4107,0.0153,0,0.000325203,0.000325203,0.000325203
34,424.222,0.99457,1.56958,1.61318,0.0082,0.82742,0.51152,0.40354,0.41414,0.31849,0.50744,0.38482,0.40996,0.29722,1.13697,2.23709,2.41647,0.01446,0,0.000320491,0.000320491,0.000320491
35,436.136,0.98714,1.56387,1.58604,0.00831,0.79418,0.47635,0.41045,0.38892,0.28537,0.47598,0.41237,0.38179,0.2736,1.19805,2.2772,2.41856,0.01595,0,0.000315778,0.000315778,0.000315778
36,448.205,1.00235,1.57037,1.5717,0.00818,0.77629,0.54018,0.39792,0.41051,0.31639,0.5358,0.39196,0.40266,0.2956,1.14434,2.15319,2.42595,0.01451,0,0.000311066,0.000311066,0.000311066
37,460.059,0.9913,1.54463,1.53325,0.00805,0.76777,0.54285,0.40523,0.42002,0.3307,0.53516,0.39811,0.41317,0.30698,1.15084,2.22914,2.36622,0.01484,0,0.000306354,0.000306354,0.000306354
38,472.367,0.99456,1.56402,1.51666,0.00813,0.77971,0.51927,0.40357,0.4054,0.30493,0.48837,0.38486,0.38521,0.27941,1.14479,2.18738,2.47624,0.01478,0,0.000301641,0.000301641,0.000301641
39,484.817,0.98494,1.55617,1.51745,0.00802,0.75812,0.56012,0.37038,0.39814,0.29665,0.54533,0.35784,0.38354,0.27898,1.14966,2.17513,2.43449,0.0148,0,0.000296929,0.000296929,0.000296929
40,497.237,0.98228,1.51647,1.5057,0.0078,0.74763,0.5298,0.39681,0.41141,0.31,0.52178,0.38808,0.40157,0.292,1.16008,2.23489,2.42735,0.01501,0,0.000292216,0.000292216,0.000292216
